and,-2.7063652990601095
the,-3.155424920233274
a,-3.3366119048236516
of,-3.494339264570997
with,-3.681958306157006
is,-3.995836200305325
this,-4.0122982586396105
wine,-4.237083846447565
flavors,-4.355611818497714
in,-4.397743612998709
to,-4.550178151868713
it,-4.555640294427162
its,-4.603026077969231
fruit,-4.675880442358198
but,-4.830225827959098
on,-4.883542951991241
that,-4.8939000662187
finish,-5.079868791462338
aromas,-5.1313532481521476
acidity,-5.225734470790469
tannins,-5.238607204072707
cherry,-5.28636484362795
for,-5.29592646072936
from,-5.333849033513039
palate,-5.3447413019380425
has,-5.403655088879294
are,-5.4160812733647585
ripe,-5.424651583302308
by,-5.434164542560933
black,-5.506823392718865
drink,-5.547621688270194
dry,-5.575645063873444
spice,-5.589625789017713
an,-5.597735199111326
as,-5.647729647650739
sweet,-5.652042221718469
rich,-5.657459225473269
oak,-5.731298373585237
notes,-5.734252134135725
red,-5.7548119205500585
now,-5.76343919949233
soft,-5.83403499337055
fresh,-5.83849689114607
good,-5.859952644546358
berry,-5.870826425186321
very,-5.926239266083362
nose,-5.945267258373636
shows,-5.952283056831294
blackberry,-6.004357817810844
some,-6.041037328505375
crisp,-6.073942682134784
not,-6.090555559689131
blend,-6.095374142422796
more,-6.100289599295461
vanilla,-6.120947192250116
at,-6.12102227578058
plum,-6.123653757318644
or,-6.135619970991323
years,-6.152523946298433
fruits,-6.204123166470775
dark,-6.2169333268663145
citrus,-6.227568189478558
white,-6.236967385899431
chocolate,-6.24679630759685
cabernet,-6.268922818305743
apple,-6.2724984554821
mouth,-6.291817187992367
well,-6.304906849514822
green,-6.328372888600523
texture,-6.335791320248074
offers,-6.340175451145017
light,-6.350889839357423
while,-6.353823364053997
bright,-6.381301315330899
theres,-6.404757599172963
raspberry,-6.418109200414481
through,-6.456533868696683
pepper,-6.473693488979509
pinot,-6.477654314154454
bit,-6.501424902085035
be,-6.505938588396366
touch,-6.506711258008183
character,-6.506821688133633
full,-6.509807920513721
firm,-6.5190440625083275
like,-6.523975149492216
structure,-6.52644984141882
fruity,-6.528027839942839
up,-6.528592014852021
peach,-6.532097021549565
balanced,-6.545666988604599
just,-6.546126336338904
spicy,-6.546356089355423
clean,-6.551193136676575
all,-6.552463858270773
smooth,-6.55304199322357
sauvignon,-6.566197779914562
there,-6.595330093951883
long,-6.6058826814147364
tannic,-6.6118754835485865
